lag,correlation,p_value,n_observations
0,0.1970080118382849,0.021512903069369115,136
1,0.1811450696596271,0.03550329251971838,135
2,0.1562509162104914,0.07140704989136279,134
3,0.12934204744272185,0.13786058962197378,133
4,0.10332792102230144,0.23839219511422877,132
5,0.0797089060709021,0.36546143193692815,131
