series_id,year,raw_ring_width,fitted_growth,rwi,sunspot,rwi_smoothed,rwi_z,sunspot_smoothed,sunspot_z,sunspot_z_lagged,optimal_lag
10TANA,1942,220,321.1121795147255,0.6851188277332573,50.8,,,111.97272727272728,1.1467326844906274,1.1467326844906274,0
10TANA,1943,360,317.6963353958004,1.13315754666007,27.1,,,112.19090909090909,1.1559612159679753,1.1559612159679753,0
10TANA,1944,320,314.52802781877415,1.0173974072173266,16.1,,,112.92727272727274,1.187107509704027,1.187107509704027,0
10TANA,1945,300,311.5893185120389,0.9628057901105774,55.3,,,110.28181818181817,1.075211565541176,1.075211565541176,0
10TANA,1946,437,308.8635691396885,1.4148641784371785,154.3,,,108.94545454545455,1.0186868102424178,1.0186868102424178,0
10TANA,1947,220,306.3353470988624,0.7181672049389725,214.7,0.974262420229611,-0.19667090323610967,105.83636363636364,0.8871802366902027,0.8871802366902027,0
10TANA,1948,356,303.99033814368954,1.171089851650899,193.0,0.9959193656797841,0.012056468432296736,103.04545454545455,0.7691319382091205,0.7691319382091205,0
10TANA,1949,251,301.8152653411266,0.831634542130622,190.7,1.0169758235147397,0.21499640336673875,101.18181818181819,0.6903048985067695,0.6903048985067695,0
10TANA,1950,357,299.79781389983754,1.1908025457426241,118.9,1.0435353220368997,0.4709740679970505,104.64545454545454,0.8368078357096754,0.8368078357096754,0
10TANA,1951,259,297.9265614465113,0.8693417557081428,98.3,1.04741176083461,0.5083347790696757,117.86363636363636,1.3959030343790344,1.3959030343790344,0
10TANA,1952,214,296.1909133548565,0.7225069721960502,45.0,1.0366569221729518,0.4046807706255743,128.3181818181818,1.83810350100198,1.83810350100198,0
10TANA,1953,272,294.58104276112124,0.9233452276851623,20.1,1.0635018515759407,0.663409388186228,132.5909090909091,2.018828909100054,2.018828909100054,0
10TANA,1954,400,293.08783492651776,1.364778582844583,6.6,1.049500962839864,0.5284702891509239,135.5090909090909,2.1422605176095884,2.1422605176095884,0
10TANA,1955,382,291.70283563154464,1.3095518909610855,54.2,1.0447454271469543,0.48263693428839,132.62727272727273,2.0203669976796115,2.0203669976796115,0
10TANA,1956,292,290.4182033100264,1.005446616885392,200.7,1.0438873135019004,0.4743665248653727,128.76363636363638,1.8569450861015673,1.8569450861015673,0
10TANA,1957,375,289.226664651863,1.296560953158938,269.3,1.0684069449301874,0.7106841641224577,124.68181818181819,1.6842946430461734,1.6842946430461734,0
10TANA,1958,292,288.1214734231232,1.0134614283718486,261.7,1.028360949144131,0.3247250515828453,124.2181818181818,1.664684013656807,1.664684013656807,0
10TANA,1959,292,287.0963722703278,1.0170800755540548,225.1,1.0729215273485033,0.7541952365644833,123.75454545454545,1.645073384267442,1.645073384267442,0
10TANA,1960,223,286.1455572926694,0.7793236495086163,159.0,1.071852976327435,0.7438966537549018,125.15454545454546,1.704289794580428,1.704289794580428,0
10TANA,1961,337,285.26364518158255,1.1813632956470321,76.4,0.9979790332021872,0.03190732826158676,126.3,1.752739584836507,1.752739584836507,0
10TANA,1962,324,284.44564274161553,1.1390577014193,53.4,0.9605712143013636,-0.3286253118090474,120.13636363636364,1.4920335706014143,1.4920335706014143,0
10TANA,1963,80,283.6869186200391,0.282001018549429,39.9,0.9508953089163402,-0.42188067435196613,109.2909090909091,1.0332986517482194,1.0332986517482194,0
10TANA,1964,400,282.9831770851298,1.4135115879332574,15.0,0.986611733201912,-0.0776495184083459,99.08181818181819,0.6014802830372911,0.6014802830372911,0
10TANA,1965,382,282.3304337046669,1.3530245216128307,22.0,0.9455015537933517,-0.4738651212276636,92.07272727272726,0.3050137093274719,0.3050137093274719,0
10TANA,1966,140,281.72499278694,0.49693851658336086,66.8,0.9544000008151456,-0.3881028209502361,86.2,0.056612403728843845,0.056612403728843845,0
10TANA,1967,167,281.16342645654214,0.5939606089763323,132.9,0.9196888492459024,-0.7226452637569102,88.12727272727273,0.13813109844542143,0.13813109844542143,0
10TANA,1968,334,280.64255524648166,1.190125993923679,150.0,0.8699879482051398,-1.2016573417832233,88.19090909090909,0.140822753459648,0.140822753459648,0
10TANA,1969,394,280.1594300967284,1.4063420955131398,149.4,0.938782669300564,-0.5386210261612457,89.03636363636365,0.1765833129343737,0.1765833129343737,0
