series_id,year,raw_ring_width,fitted_growth,rwi
10TANA,1942,220,321.1121795147255,0.6851188277332573
10TANA,1943,360,317.6963353958004,1.13315754666007
10TANA,1944,320,314.52802781877415,1.0173974072173266
10TANA,1945,300,311.5893185120389,0.9628057901105774
10TANA,1946,437,308.8635691396885,1.4148641784371785
10TANA,1947,220,306.3353470988624,0.7181672049389725
10TANA,1948,356,303.99033814368954,1.171089851650899
10TANA,1949,251,301.8152653411266,0.831634542130622
10TANA,1950,357,299.79781389983754,1.1908025457426241
10TANA,1951,259,297.9265614465113,0.8693417557081428
10TANA,1952,214,296.1909133548565,0.7225069721960502
10TANA,1953,272,294.58104276112124,0.9233452276851623
10TANA,1954,400,293.08783492651776,1.364778582844583
10TANA,1955,382,291.70283563154464,1.3095518909610855
10TANA,1956,292,290.4182033100264,1.005446616885392
10TANA,1957,375,289.226664651863,1.296560953158938
10TANA,1958,292,288.1214734231232,1.0134614283718486
10TANA,1959,292,287.0963722703278,1.0170800755540548
10TANA,1960,223,286.1455572926694,0.7793236495086163
10TANA,1961,337,285.26364518158255,1.1813632956470321
10TANA,1962,324,284.44564274161553,1.1390577014193
10TANA,1963,80,283.6869186200391,0.282001018549429
10TANA,1964,400,282.9831770851298,1.4135115879332574
10TANA,1965,382,282.3304337046669,1.3530245216128307
10TANA,1966,140,281.72499278694,0.49693851658336086
10TANA,1967,167,281.16342645654214,0.5939606089763323
10TANA,1968,334,280.64255524648166,1.190125993923679
10TANA,1969,394,280.1594300967284,1.4063420955131398
10TANA,1970,158,279.71131565727416,0.5648681020598927
10TANA,1971,245,279.2956748011731,0.8772065667483474
10TANA,1972,223,278.9101542598783,0.7995406283853571
10TANA,1973,165,278.55257129954464,0.5923477899709114
10TANA,1974,289,278.2209013628623,1.0387429505990973
10TANA,1975,387,277.9132666064516,1.3925207843640812
10TANA,1976,324,277.62792526892025,1.1670295763157186
10TANA,1977,336,277.3632618093875,1.2114077322573076
10TANA,1978,343,277.1177777606413,1.2377408723891545
10TANA,1979,206,276.89008324514145,0.7439775292263546
10TANA,1980,386,276.6788891058338,1.3951190900305708
10TANA,1981,351,276.48299960722204,1.2695174766572934
10TANA,1982,150,276.3013056653724,0.5428855996129982
10TANA,1983,176,276.1327785685202,0.6373745301531704
10TANA,1984,155,275.9764641527269,0.5616420968210613
10TANA,1985,125,275.83147739961,0.4531752546099249
